de halskette noun:f

de halskette sg:nom halskette
de halskette sg:acc halskette
de halskette sg:gen halskette
de halskette sg:dat halskette

de halskette pl:nom halsketten
de halskette pl:acc halsketten
de halskette pl:gen halsketten
de halskette pl:dat halsketten

de gesegnet adj

de gesegnet m:sg:nom gesegneter
de gesegnet m:sg:acc gesegneten
de gesegnet m:sg:gen gesegnetes
de gesegnet m:sg:dat gesegnetem

de gesegnet m:pl:nom gesegnete
de gesegnet m:pl:acc gesegnete
de gesegnet m:pl:gen gesegneter
de gesegnet m:pl:dat gesegneter

de gesegnet f:sg:nom gesegnete
de gesegnet f:sg:acc gesegnete
de gesegnet f:sg:gen gesegneter
de gesegnet f:sg:dat gesegneter

de gesegnet f:pl:nom gesegnete
de gesegnet f:pl:acc gesegnete
de gesegnet f:pl:gen gesegneter
de gesegnet f:pl:dat gesegneter

de gesegnet n:sg:nom gesegnetes
de gesegnet n:sg:acc gesegnetes
de gesegnet n:sg:gen gesegneten
de gesegnet n:sg:dat gesegnetem

de gesegnet n:pl:nom gesegnete
de gesegnet n:pl:acc gesegnete
de gesegnet n:pl:gen gesegneter
de gesegnet n:pl:dat gesegneter

en necklace noun

en necklace sg necklace
en necklace pl necklaces

en shield noun

en shield sg shield
en shield pl shields

ru благословенный adj

ru благословенный m:sg:nom благословенный
ru благословенный m:sg:acc благословенный
ru благословенный m:pl:nom благословенные
ru благословенный m:pl:acc благословенные

ru благословенный n:sg:nom благословенное
ru благословенный n:sg:acc благословенное
ru благословенный n:pl:nom благословенные
ru благословенный n:pl:acc благословенные

ru благословенный m:sg:acc:anim благословенного
ru благословенный m:pl:acc:anim благословенных
ru благословенный n:sg:acc:anim благословенного
ru благословенный n:pl:acc:anim благословенных

ru ожерелье noun:n

ru ожерелье sg:nom ожерелье
ru ожерелье sg:acc ожерелье
ru ожерелье pl:nom ожерелья
ru ожерелье pl:acc ожерелья

ru человек noun:m:anim

ru человек sg:nom человек
ru человек sg:acc человека
ru человек pl:nom люди
ru человек pl:acc людей

ru фантастический adj

ru фантастический m:sg:nom фантастический
ru фантастический m:sg:acc фантастический
ru фантастический m:pl:nom фантастические
ru фантастический m:pl:acc фантастические

ru кожаный adj

ru кожаный m:sg:nom кожаный 
ru кожаный m:sg:acc кожаный 
ru кожаный m:pl:nom кожаные
ru кожаный m:pl:acc кожаные

ru набедренник noun:m

ru набедренник pl:nom набедренники
ru набедренник pl:acc набедренники

ru зубей noun:m

ru зубей sg:nom зубей
ru зубей sg:acc зубея
ru зубей sg:gen зубея
